cell_lat,cell_lon,n_incidents,gi_z,gi_p,hotspot_class
34.11,-118.29,1018,0.352870916252965,0.14,Not Significant
34.18,-118.45,1520,0.3459076232637377,0.13,Not Significant
34.18,-118.59,1099,0.34241748494840546,0.1,Not Significant
34.01,-118.34,2518,0.34030302158948145,0.22,Not Significant
34.15,-118.38,525,0.3391990848960673,0.12,Not Significant
34.17,-118.45,732,0.3390080189298991,0.13,Not Significant
34.19,-118.4,1145,0.3257820081607267,0.13,Not Significant
34.19,-118.43,771,0.32204560704455576,0.11,Not Significant
34.15,-118.37,1244,0.3183092059283852,0.16,Not Significant
34.2,-118.43,1463,0.31678067819904243,0.17,Not Significant
34.02,-118.21,1529,0.30664144426106965,0.2,Not Significant
34.18,-118.61,1179,0.3039580289140016,0.15,Not Significant
34.02,-118.36,768,0.30257810804723406,0.15,Not Significant
34.23,-118.44,839,0.2945604139854507,0.13,Not Significant
34.02,-118.23,474,0.2930969902149504,0.17,Not Significant
34.06,-118.21,1046,0.2923242345295607,0.17,Not Significant
34.04,-118.43,1073,0.28807832417027573,0.17,Not Significant
34.08,-118.25,585,0.28755466189263074,0.15,Not Significant
34.03,-118.38,519,0.2866516982895561,0.17,Not Significant
34.12,-118.33,66,0.28397394415630006,0.14,Not Significant
33.99,-118.45,1711,0.2788363926215652,0.21,Not Significant
34.2,-118.61,851,0.27626761685419793,0.13,Not Significant
34.03,-118.37,1071,0.2757651841283491,0.2,Not Significant
34.05,-118.38,1611,0.27406681998463517,0.23,Not Significant
34.01,-118.36,164,0.2722457962083197,0.17,Not Significant
34.08,-118.38,1557,0.26761303623852206,0.21,Not Significant
34.01,-118.35,1281,0.2670186087882219,0.22,Not Significant
34.19,-118.37,1626,0.26616942671636507,0.19,Not Significant
33.98,-118.33,2737,0.2629425348433085,0.32,Not Significant
34.22,-118.44,973,0.26124417069959416,0.15,Not Significant
34.04,-118.38,2023,0.2507992312157534,0.27,Not Significant
34.04,-118.19,211,0.24945115467668036,0.19,Not Significant
34.17,-118.46,897,0.24689299368521112,0.19,Not Significant
34.2,-118.54,1662,0.24689299368521112,0.2,Not Significant
34.16,-118.36,579,0.24477003850556855,0.17,Not Significant
34.01,-118.24,472,0.2444303656768257,0.19,Not Significant
34.02,-118.4,796,0.23917605160721053,0.23,Not Significant
34.18,-118.44,1373,0.23449493543609892,0.19,Not Significant
34.04,-118.47,828,0.23218327312937673,0.23,Not Significant
34.19,-118.53,927,0.23002965304158396,0.17,Not Significant
33.92,-118.25,104,0.2290844325211243,0.21,Not Significant
34.19,-118.41,973,0.2278713152756141,0.18,Not Significant
33.96,-118.32,243,0.22689003821480153,0.19,Not Significant
34.06,-118.44,2161,0.2224790091193221,0.29,Not Significant
34.03,-118.42,762,0.21757498265434785,0.2,Not Significant
34.2,-118.39,1297,0.21539541533658157,0.19,Not Significant
34.21,-118.59,502,0.21487882957620213,0.18,Not Significant
34.02,-118.22,1134,0.21301062901811688,0.23,Not Significant
34.24,-118.47,1431,0.21259311449945364,0.21,Not Significant
34.18,-118.36,584,0.20975189281736548,0.18,Not Significant
34.16,-118.45,745,0.20838966324376137,0.19,Not Significant
34.2,-118.4,819,0.20732110913667467,0.19,Not Significant
34.12,-118.34,205,0.20681159989356068,0.17,Not Significant
33.98,-118.46,621,0.20384889799841518,0.23,Not Significant
34.19,-118.58,512,0.20301858663926603,0.16,Not Significant
33.92,-118.29,931,0.20092798125283712,0.29,Not Significant
34.0,-118.45,663,0.20018797973307584,0.22,Not Significant
34.03,-118.43,1085,0.19908404303966168,0.24,Not Significant
34.03,-118.44,943,0.19850376862389274,0.23,Not Significant
33.74,-118.3,515,0.19655772637588712,0.22,Not Significant
34.16,-118.46,1292,0.19492305088756248,0.25,Not Significant
34.06,-118.43,905,0.19475321447319136,0.22,Not Significant
34.24,-118.45,1820,0.19204290836051402,0.29,Not Significant
33.97,-118.33,1057,0.19200398751555414,0.28,Not Significant
34.21,-118.6,840,0.19161124080732017,0.2,Not Significant
34.18,-118.47,940,0.1903459595202533,0.2,Not Significant
34.19,-118.42,1268,0.18799514048466245,0.23,Not Significant
34.2,-118.55,878,0.18721672358546013,0.19,Not Significant
33.99,-118.34,445,0.18511499795761419,0.2,Not Significant
34.18,-118.53,715,0.18388368395342147,0.19,Not Significant
33.95,-118.31,1325,0.1824683805003263,0.28,Not Significant
34.18,-118.4,1318,0.17792242580898526,0.26,Not Significant
34.14,-118.37,1827,0.17717514558575118,0.32,Not Significant
34.17,-118.6,1043,0.17692039096419407,0.26,Not Significant
34.18,-118.54,1777,0.17502671494395294,0.31,Not Significant
34.17,-118.44,926,0.1749955782679847,0.22,Not Significant
34.03,-118.39,1065,0.17420300833425154,0.27,Not Significant
33.95,-118.39,2221,0.1738279529191814,0.34,Not Significant
34.02,-118.41,1551,0.17042886579266478,0.35,Not Significant
